# Filename: 2DKT_FPquench_inject_SteadyState_vsl_T_0.75_lmax10_dl0.008_linj3_InjConst1_dGdl00.dat
# Source: 2DKT_FPquench.c
# Source version: 1 (2011 May 11 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=0.75, qTfrac=0.95, lmax=10, lsteps=1250, (dl=0.008), lpts=1251, ldatamax=250, linj=3, InjConst=1, dGdl0=0, tmax=10000, dt0=1e-05, a0=1, a04=1, K0c=0.747853

# time step n = 0	t = 0.000000e+00	(dt = 1.000000e-05)
# T/Tc	1-T/Tc	l	K	K/K0	G
0.75	0.25	0	0.997137	1	5.32054e-05
0.75	0.25	1.04	0.90151	0.904098	5.64877e-05
0.75	0.25	1.08	0.886002	0.888546	5.70672e-05
0.75	0.25	1.12	0.868281	0.870774	5.77452e-05
0.75	0.25	1.16	0.848119	0.850553	5.85379e-05
0.75	0.25	1.2	0.825297	0.827666	5.94641e-05
0.75	0.25	1.24	0.799617	0.801913	6.05451e-05
0.75	0.25	1.28	0.770918	0.773131	6.18054e-05
0.75	0.25	1.32	0.739095	0.741216	6.32726e-05
0.75	0.25	1.36	0.70412	0.706141	6.49776e-05
0.75	0.25	1.4	0.66607	0.667982	6.69548e-05
0.75	0.25	1.44	0.625144	0.626939	6.92417e-05
0.75	0.25	1.48	0.581685	0.583355	7.18785e-05
0.75	0.25	1.52	0.536185	0.537724	7.49075e-05
0.75	0.25	1.56	0.489284	0.490689	7.8372e-05
0.75	0.25	1.6	0.441747	0.443016	8.23144e-05
0.75	0.25	1.64	0.394424	0.395556	8.6775e-05
0.75	0.25	1.68	0.348196	0.349195	9.17893e-05
0.75	0.25	1.72	0.30391	0.304782	9.73861e-05
0.75	0.25	1.76	0.262314	0.263067	0.000103586
0.75	0.25	1.8	0.224004	0.224647	0.000110397
0.75	0.25	1.84	0.189385	0.189929	0.000117821
0.75	0.25	1.88	0.158661	0.159116	0.000125844
0.75	0.25	1.92	0.131846	0.132225	0.000134444
0.75	0.25	1.96	0.108797	0.109109	0.00014359
0.75	0.25	2	0.0892481	0.0895043	0.000153246
0.75	0.25	2.04	0.0728608	0.07307	0.000163369
0.75	0.25	2.08	0.0592583	0.0594285	0.000173915
0.75	0.25	2.12	0.0480589	0.0481969	0.000184841
0.75	0.25	2.16	0.0388983	0.03901	0.000196104
0.75	0.25	2.2	0.0314435	0.0315337	0.000207661
0.75	0.25	2.24	0.0254002	0.0254732	0.000219477
0.75	0.25	2.28	0.0205149	0.0205738	0.000231516
0.75	0.25	2.32	0.016573	0.0166206	0.000243748
0.75	0.25	2.36	0.0133959	0.0134344	0.000256144
0.75	0.25	2.4	0.0108365	0.0108676	0.000268683
0.75	0.25	2.44	0.00877473	0.00879992	0.000281342
0.75	0.25	2.48	0.00711315	0.00713357	0.000294104
0.75	0.25	2.52	0.00577318	0.00578975	0.000306953
0.75	0.25	2.56	0.00469158	0.00470505	0.000319876
0.75	0.25	2.6	0.00381759	0.00382854	0.000332863
0.75	0.25	2.64	0.00311049	0.00311942	0.000345902
0.75	0.25	2.68	0.00253768	0.00254496	0.000358987
0.75	0.25	2.72	0.00207303	0.00207898	0.00037211
0.75	0.25	2.76	0.00169561	0.00170048	0.000385265
0.75	0.25	2.8	0.00138862	0.0013926	0.000398447
0.75	0.25	2.84	0.00113857	0.00114183	0.000411653
0.75	0.25	2.88	0.000934623	0.000937306	0.000424878
0.75	0.25	2.92	0.000768068	0.000770273	0.00043812
0.75	0.25	2.96	0.000631871	0.000633685	0.000451375
0.75	0.25	3	0.000520361	0.000521855	0.000464643
0.75	0.25	3.04	-nan	-nan	-nan
0.75	0.25	3.08	-nan	-nan	-nan
0.75	0.25	3.12	-nan	-nan	-nan
0.75	0.25	3.16	-nan	-nan	-nan
0.75	0.25	3.2	-nan	-nan	-nan
0.75	0.25	3.24	-nan	-nan	-nan
0.75	0.25	3.28	-nan	-nan	-nan
0.75	0.25	3.32	-nan	-nan	-nan
0.75	0.25	3.36	-nan	-nan	-nan
0.75	0.25	3.4	-nan	-nan	-nan
0.75	0.25	3.44	-nan	-nan	-nan
0.75	0.25	3.48	-nan	-nan	-nan
0.75	0.25	3.52	-nan	-nan	-nan
0.75	0.25	3.56	-nan	-nan	-nan
0.75	0.25	3.6	-nan	-nan	-nan
0.75	0.25	3.64	-nan	-nan	-nan
0.75	0.25	3.68	-nan	-nan	-nan
0.75	0.25	3.72	-nan	-nan	-nan
0.75	0.25	3.76	-nan	-nan	-nan
0.75	0.25	3.8	-nan	-nan	-nan
0.75	0.25	3.84	-nan	-nan	-nan
0.75	0.25	3.88	-nan	-nan	-nan
0.75	0.25	3.92	-nan	-nan	-nan
0.75	0.25	3.96	-nan	-nan	-nan
0.75	0.25	4	-nan	-nan	-nan
0.75	0.25	4.04	-nan	-nan	-nan
0.75	0.25	4.08	-nan	-nan	-nan
0.75	0.25	4.12	-nan	-nan	-nan
0.75	0.25	4.16	-nan	-nan	-nan
0.75	0.25	4.2	-nan	-nan	-nan
0.75	0.25	4.24	-nan	-nan	-nan
0.75	0.25	4.28	-nan	-nan	-nan
0.75	0.25	4.32	-nan	-nan	-nan
0.75	0.25	4.36	-nan	-nan	-nan
0.75	0.25	4.4	-nan	-nan	-nan
0.75	0.25	4.44	-nan	-nan	-nan
0.75	0.25	4.48	-nan	-nan	-nan
0.75	0.25	4.52	-nan	-nan	-nan
0.75	0.25	4.56	-nan	-nan	-nan
0.75	0.25	4.6	-nan	-nan	-nan
0.75	0.25	4.64	-nan	-nan	-nan
0.75	0.25	4.68	-nan	-nan	-nan
0.75	0.25	4.72	-nan	-nan	-nan
0.75	0.25	4.76	-nan	-nan	-nan
0.75	0.25	4.8	-nan	-nan	-nan
0.75	0.25	4.84	-nan	-nan	-nan
0.75	0.25	4.88	-nan	-nan	-nan
0.75	0.25	4.92	-nan	-nan	-nan
0.75	0.25	4.96	-nan	-nan	-nan
0.75	0.25	5	-nan	-nan	-nan
0.75	0.25	5.04	-nan	-nan	-nan
0.75	0.25	5.08	-nan	-nan	-nan
0.75	0.25	5.12	-nan	-nan	-nan
0.75	0.25	5.16	-nan	-nan	-nan
0.75	0.25	5.2	-nan	-nan	-nan
0.75	0.25	5.24	-nan	-nan	-nan
0.75	0.25	5.28	-nan	-nan	-nan
0.75	0.25	5.32	-nan	-nan	-nan
0.75	0.25	5.36	-nan	-nan	-nan
0.75	0.25	5.4	-nan	-nan	-nan
0.75	0.25	5.44	-nan	-nan	-nan
0.75	0.25	5.48	-nan	-nan	-nan
0.75	0.25	5.52	-nan	-nan	-nan
0.75	0.25	5.56	-nan	-nan	-nan
0.75	0.25	5.6	-nan	-nan	-nan
0.75	0.25	5.64	-nan	-nan	-nan
0.75	0.25	5.68	-nan	-nan	-nan
0.75	0.25	5.72	-nan	-nan	-nan
0.75	0.25	5.76	-nan	-nan	-nan
0.75	0.25	5.8	-nan	-nan	-nan
0.75	0.25	5.84	-nan	-nan	-nan
0.75	0.25	5.88	-nan	-nan	-nan
0.75	0.25	5.92	-nan	-nan	-nan
0.75	0.25	5.96	-nan	-nan	-nan
0.75	0.25	6	-nan	-nan	-nan
0.75	0.25	6.04	-nan	-nan	-nan
0.75	0.25	6.08	-nan	-nan	-nan
0.75	0.25	6.12	-nan	-nan	-nan
0.75	0.25	6.16	-nan	-nan	-nan
0.75	0.25	6.2	-nan	-nan	-nan
0.75	0.25	6.24	-nan	-nan	-nan
0.75	0.25	6.28	-nan	-nan	-nan
0.75	0.25	6.32	-nan	-nan	-nan
0.75	0.25	6.36	-nan	-nan	-nan
0.75	0.25	6.4	-nan	-nan	-nan
0.75	0.25	6.44	-nan	-nan	-nan
0.75	0.25	6.48	-nan	-nan	-nan
0.75	0.25	6.52	-nan	-nan	-nan
0.75	0.25	6.56	-nan	-nan	-nan
0.75	0.25	6.6	-nan	-nan	-nan
0.75	0.25	6.64	-nan	-nan	-nan
0.75	0.25	6.68	-nan	-nan	-nan
0.75	0.25	6.72	-nan	-nan	-nan
0.75	0.25	6.76	-nan	-nan	-nan
0.75	0.25	6.8	-nan	-nan	-nan
0.75	0.25	6.84	-nan	-nan	-nan
0.75	0.25	6.88	-nan	-nan	-nan
0.75	0.25	6.92	-nan	-nan	-nan
0.75	0.25	6.96	-nan	-nan	-nan
0.75	0.25	7	-nan	-nan	-nan
0.75	0.25	7.04	-nan	-nan	-nan
0.75	0.25	7.08	-nan	-nan	-nan
0.75	0.25	7.12	-nan	-nan	-nan
0.75	0.25	7.16	-nan	-nan	-nan
0.75	0.25	7.2	-nan	-nan	-nan
0.75	0.25	7.24	-nan	-nan	-nan
0.75	0.25	7.28	-nan	-nan	-nan
0.75	0.25	7.32	-nan	-nan	-nan
0.75	0.25	7.36	-nan	-nan	-nan
0.75	0.25	7.4	-nan	-nan	-nan
0.75	0.25	7.44	-nan	-nan	-nan
0.75	0.25	7.48	-nan	-nan	-nan
0.75	0.25	7.52	-nan	-nan	-nan
0.75	0.25	7.56	-nan	-nan	-nan
0.75	0.25	7.6	-nan	-nan	-nan
0.75	0.25	7.64	-nan	-nan	-nan
0.75	0.25	7.68	-nan	-nan	-nan
0.75	0.25	7.72	-nan	-nan	-nan
0.75	0.25	7.76	-nan	-nan	-nan
0.75	0.25	7.8	-nan	-nan	-nan
0.75	0.25	7.84	-nan	-nan	-nan
0.75	0.25	7.88	-nan	-nan	-nan
0.75	0.25	7.92	-nan	-nan	-nan
0.75	0.25	7.96	-nan	-nan	-nan
0.75	0.25	8	-nan	-nan	-nan
0.75	0.25	8.04	-nan	-nan	-nan
0.75	0.25	8.08	-nan	-nan	-nan
0.75	0.25	8.12	-nan	-nan	-nan
0.75	0.25	8.16	-nan	-nan	-nan
0.75	0.25	8.2	-nan	-nan	-nan
0.75	0.25	8.24	-nan	-nan	-nan
0.75	0.25	8.28	-nan	-nan	-nan
0.75	0.25	8.32	-nan	-nan	-nan
0.75	0.25	8.36	-nan	-nan	-nan
0.75	0.25	8.4	-nan	-nan	-nan
0.75	0.25	8.44	-nan	-nan	-nan
0.75	0.25	8.48	-nan	-nan	-nan
0.75	0.25	8.52	-nan	-nan	-nan
0.75	0.25	8.56	-nan	-nan	-nan
0.75	0.25	8.6	-nan	-nan	-nan
0.75	0.25	8.64	-nan	-nan	-nan
0.75	0.25	8.68	-nan	-nan	-nan
0.75	0.25	8.72	-nan	-nan	-nan
0.75	0.25	8.76	-nan	-nan	-nan
0.75	0.25	8.8	-nan	-nan	-nan
0.75	0.25	8.84	-nan	-nan	-nan
0.75	0.25	8.88	-nan	-nan	-nan
0.75	0.25	8.92	-nan	-nan	-nan
0.75	0.25	8.96	-nan	-nan	-nan
0.75	0.25	9	-nan	-nan	-nan
0.75	0.25	9.04	-nan	-nan	-nan
0.75	0.25	9.08	-nan	-nan	-nan
0.75	0.25	9.12	-nan	-nan	-nan
0.75	0.25	9.16	-nan	-nan	-nan
0.75	0.25	9.2	-nan	-nan	-nan
0.75	0.25	9.24	-nan	-nan	-nan
0.75	0.25	9.28	-nan	-nan	-nan
0.75	0.25	9.32	-nan	-nan	-nan
0.75	0.25	9.36	-nan	-nan	-nan
0.75	0.25	9.4	-nan	-nan	-nan
0.75	0.25	9.44	-nan	-nan	-nan
0.75	0.25	9.48	-nan	-nan	-nan
0.75	0.25	9.52	-nan	-nan	-nan
0.75	0.25	9.56	-nan	-nan	-nan
0.75	0.25	9.6	-nan	-nan	-nan
0.75	0.25	9.64	-nan	-nan	-nan
0.75	0.25	9.68	-nan	-nan	-nan
0.75	0.25	9.72	-nan	-nan	-nan
0.75	0.25	9.76	-nan	-nan	-nan
0.75	0.25	9.8	-nan	-nan	-nan
0.75	0.25	9.84	-nan	-nan	-nan
0.75	0.25	9.88	-nan	-nan	-nan
0.75	0.25	9.92	-nan	-nan	-nan
0.75	0.25	9.96	-nan	-nan	-nan
0.75	0.25	10	-nan	-nan	-nan
