# Filename: vlt_FPquench_vst_T_0.85_0.1_P_00.050_lmax1_dl0.0008_tmax10000_dt04e-09.dat
# Source: vlt_FPquench.c
# Source version: 1 (2011 Jan 18)
# Parameter values: iTfrac=0.85, qTfrac=0.1, P=0.05 (Cc=1.10502, K0c=0.295611), lmax=1, lsteps=1250, (dl=0.0008), lpts=1251, ldatamax=250, tmax=10000, dt0=4e-09, a0=1, a06=1, K0c=0.295611
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	G	vldens
5162	2.0648e-05	0.1	0.9	1	1.64886	0.557781	3.8949e-05	0.0867799
5793	2.3172e-05	0.1	0.9	1	1.64434	0.556251	3.99764e-05	0.086828
6501	2.6004e-05	0.1	0.9	1	1.63932	0.554552	4.10925e-05	0.086882
7296	2.9184e-05	0.1	0.9	1	1.63374	0.552664	4.23072e-05	0.0869426
8187	3.2748e-05	0.1	0.9	1	1.62756	0.550572	4.36285e-05	0.0870106
9187	3.6748e-05	0.1	0.9	1	1.6207	0.548252	4.50699e-05	0.0870869
10309	4.1236e-05	0.1	0.9	1	1.6131	0.545682	4.66439e-05	0.0871725
11568	4.6272e-05	0.1	0.9	1	1.60469	0.542836	4.83656e-05	0.0872687
12980	5.192e-05	0.1	0.9	1	1.59538	0.53969	5.02506e-05	0.0873766
14565	5.826e-05	0.1	0.9	1	1.5851	0.536211	5.23196e-05	0.0874979
16343	6.5372e-05	0.1	0.9	1	1.57375	0.53237	5.45927e-05	0.0876342
18339	7.3356e-05	0.1	0.9	1	1.56122	0.528133	5.70962e-05	0.0877875
20577	8.2308e-05	0.1	0.9	1	1.54743	0.523467	5.9855e-05	0.0879597
23089	9.2356e-05	0.1	0.9	1	1.53225	0.518332	6.29039e-05	0.0881534
25908	0.000103632	0.1	0.9	1	1.51557	0.51269	6.62792e-05	0.0883715
29070	0.00011628	0.1	0.9	1	1.49728	0.506502	7.00211e-05	0.0886171
32618	0.000130472	0.1	0.9	1	1.47724	0.499725	7.41796e-05	0.0888937
36599	0.000146396	0.1	0.9	1	1.45534	0.492316	7.88103e-05	0.0892056
41066	0.000164264	0.1	0.9	1	1.43145	0.484234	8.39782e-05	0.0895575
46078	0.000184312	0.1	0.9	1	1.40545	0.475438	8.97582e-05	0.0899549
51701	0.000206804	0.1	0.9	1	1.37722	0.46589	9.62369e-05	0.090404
58011	0.000232044	0.1	0.9	1	1.34666	0.45555	0.000103518	0.0909122
65090	0.00026036	0.1	0.9	1	1.31367	0.44439	0.000111718	0.0914876
73034	0.000292136	0.1	0.9	1	1.27817	0.432382	0.000120981	0.0921403
81946	0.000327784	0.1	0.9	1	1.24013	0.419513	0.000131467	0.0928814
91946	0.000367784	0.1	0.9	1	1.19951	0.405772	0.000143373	0.0937243
103166	0.000412664	0.1	0.9	1	1.15633	0.391166	0.000156929	0.0946844
115756	0.000463024	0.1	0.9	1	1.11065	0.375713	0.00017241	0.0957802
129881	0.000519524	0.1	0.9	1	1.06257	0.359449	0.000190142	0.0970331
145730	0.00058292	0.1	0.9	1	1.01225	0.342427	0.00021052	0.098469
163513	0.000654052	0.1	0.9	1	0.9599	0.324717	0.000234016	0.100119
183465	0.00073386	0.1	0.9	1	0.905785	0.306411	0.000261202	0.102019
205852	0.000823408	0.1	0.9	1	0.850227	0.287616	0.000292777	0.104213
230971	0.000923884	0.1	0.9	1	0.793603	0.268462	0.000329595	0.106757
259155	0.00103662	0.1	0.9	1	0.736336	0.249089	0.000372704	0.109716
290778	0.00116311	0.1	0.9	1	0.678884	0.229654	0.000423406	0.11317
326259	0.00130504	0.1	0.9	1	0.621733	0.210321	0.000483321	0.117221
366070	0.00146428	0.1	0.9	1	0.565376	0.191256	0.00055449	0.121994
410738	0.00164295	0.1	0.9	1	0.510306	0.172627	0.000639493	0.127648
460857	0.00184343	0.1	0.9	1	0.456993	0.154592	0.000741631	0.134383
517091	0.00206836	0.1	0.9	1	0.405875	0.1373	0.00086516	0.14246
580187	0.00232075	0.1	0.9	1	0.357339	0.120881	0.00101563	0.152214
650982	0.00260393	0.1	0.9	1	0.311716	0.105448	0.00120037	0.164089
730414	0.00292166	0.1	0.9	1	0.269268	0.0910886	0.00142915	0.178673
819539	0.00327816	0.1	0.9	1	0.230187	0.0778681	0.00171518	0.196762
919539	0.00367816	0.1	0.9	1	0.194591	0.0658268	0.00207664	0.219449
1031741	0.00412696	0.1	0.9	1	0.162532	0.0549815	0.00253885	0.248253
1157634	0.00463054	0.1	0.9	1	0.133991	0.0453268	0.00313777	0.285331
1298888	0.00519555	0.1	0.9	1	0.108895	0.0368373	0.0039254	0.333801
1457377	0.00582951	0.1	0.9	1	0.0871169	0.0294701	0.00497856	0.398269
1635205	0.00654082	0.1	0.9	1	0.0684851	0.0231673	0.00641342	0.485699
1834731	0.00733892	0.1	0.9	1	0.0527932	0.017859	0.00841013	0.606895
2058603	0.00823441	0.1	0.9	1	0.0398065	0.0134658	0.0112561	0.779087
2309792	0.00923917	0.1	0.9	1	0.0292699	0.00990146	0.0154244	1.03063
2591630	0.0103665	0.1	0.9	1	0.0209137	0.00707473	0.0217203	1.40979
