# Filename: 3Dvlt_quench_vst_T_1_0.7_P_00.050_lmax10_dl0.002_tmax100_dt2e-06_BC1.dat
# Source: 3Dvlt_quench.c
# Source version: 9 (2011 Jun 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.7, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=5000, (dl=0.002), lpts=5001, ldatamax=100, t0=1, tmax=100, dt=2e-06, (dtfrac=1), a0=1, a02=1, a03=1, a04=1, a06=1, Lconst=1, NDflowTOL=1e-06, fp1=-1.5, fp2=1.5, fp3=-4.5, fp4=-1.5, li=5.5
# Option values: BC=1, RKv=RK3v1
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	loopdens	linedens
318	0.000636	0.7	0.3	10	7604.4	18006.9	0.81751	3.65563e-30	0.203516	0.722492
357	0.000714	0.7	0.3	10	7604.3	18006.6	0.817499	3.65501e-30	0.203536	0.722484
402	0.000804	0.7	0.3	10	7604.18	18006.3	0.817486	3.65428e-30	0.203558	0.722474
452	0.000904	0.7	0.3	10	7604.05	18006	0.817473	3.65348e-30	0.203583	0.722463
508	0.001016	0.7	0.3	10	7603.91	18005.7	0.817457	3.65258e-30	0.20361	0.72245
572	0.001144	0.7	0.3	10	7603.75	18005.3	0.81744	3.65155e-30	0.20364	0.722435
642	0.001284	0.7	0.3	10	7603.58	18004.9	0.817422	3.65043e-30	0.203672	0.722418
722	0.001444	0.7	0.3	10	7603.39	18004.5	0.817401	3.64914e-30	0.203708	0.722398
811	0.001622	0.7	0.3	10	7603.18	18004	0.817379	3.6477e-30	0.203747	0.722375
911	0.001822	0.7	0.3	10	7602.95	18003.4	0.817354	3.64608e-30	0.20379	0.722349
1023	0.002046	0.7	0.3	10	7602.7	18002.8	0.817327	3.64427e-30	0.203836	0.722319
1149	0.002298	0.7	0.3	10	7602.42	18002.2	0.817298	3.64222e-30	0.203887	0.722285
1290	0.00258	0.7	0.3	10	7602.12	18001.5	0.817265	3.63993e-30	0.203941	0.722245
1449	0.002898	0.7	0.3	10	7601.8	18000.7	0.81723	3.63734e-30	0.204001	0.722199
1627	0.003254	0.7	0.3	10	7601.44	17999.9	0.817192	3.63444e-30	0.204065	0.722147
1826	0.003652	0.7	0.3	10	7601.06	17999	0.817151	3.63118e-30	0.204133	0.722086
2050	0.0041	0.7	0.3	10	7600.65	17998	0.817107	3.62751e-30	0.204206	0.722016
2301	0.004602	0.7	0.3	10	7600.21	17996.9	0.817059	3.62339e-30	0.204285	0.721935
2583	0.005166	0.7	0.3	10	7599.73	17995.8	0.817008	3.61874e-30	0.204368	0.721841
2899	0.005798	0.7	0.3	10	7599.22	17994.6	0.816953	3.61353e-30	0.204456	0.721733
3254	0.006508	0.7	0.3	10	7598.67	17993.3	0.816895	3.60766e-30	0.204548	0.721609
3652	0.007304	0.7	0.3	10	7598.1	17991.9	0.816833	3.60106e-30	0.204644	0.721465
4099	0.008198	0.7	0.3	10	7597.49	17990.5	0.816767	3.59364e-30	0.204745	0.721299
4600	0.0092	0.7	0.3	10	7596.85	17989	0.816698	3.58529e-30	0.204847	0.721107
5162	0.010324	0.7	0.3	10	7596.19	17987.4	0.816627	3.57591e-30	0.204952	0.720886
5793	0.011586	0.7	0.3	10	7595.5	17985.8	0.816553	3.56534e-30	0.205057	0.720631
6501	0.013002	0.7	0.3	10	7594.79	17984.1	0.816478	3.55346e-30	0.205161	0.720336
7296	0.014592	0.7	0.3	10	7594.08	17982.4	0.816401	3.54008e-30	0.205262	0.719995
8187	0.016374	0.7	0.3	10	7593.37	17980.7	0.816324	3.52505e-30	0.205357	0.719602
9187	0.018374	0.7	0.3	10	7592.67	17979.1	0.816249	3.50814e-30	0.205443	0.719149
10309	0.020618	0.7	0.3	10	7592	17977.5	0.816177	3.48912e-30	0.205517	0.718627
11568	0.023136	0.7	0.3	10	7591.38	17976	0.81611	3.46772e-30	0.205575	0.718024
12980	0.02596	0.7	0.3	10	7590.82	17974.7	0.816051	3.44367e-30	0.205612	0.71733
14565	0.02913	0.7	0.3	10	7590.36	17973.6	0.816001	3.41662e-30	0.205622	0.71653
16343	0.032686	0.7	0.3	10	7590.03	17972.8	0.815965	3.38621e-30	0.205598	0.71561
18339	0.036678	0.7	0.3	10	7589.85	17972.4	0.815946	3.35202e-30	0.205533	0.714551
20577	0.041154	0.7	0.3	10	7589.89	17972.5	0.81595	3.31362e-30	0.205419	0.713334
23089	0.046178	0.7	0.3	10	7590.17	17973.2	0.815981	3.27048e-30	0.205245	0.711936
25908	0.051816	0.7	0.3	10	7590.77	17974.6	0.816045	3.22203e-30	0.205002	0.710331
29070	0.05814	0.7	0.3	10	7591.75	17976.9	0.81615	3.16768e-30	0.204676	0.70849
32618	0.065236	0.7	0.3	10	7593.17	17980.3	0.816303	3.10672e-30	0.204254	0.706381
36599	0.073198	0.7	0.3	10	7595.14	17984.9	0.816514	3.03841e-30	0.203722	0.703967
41066	0.082132	0.7	0.3	10	7597.73	17991.1	0.816793	2.96193e-30	0.203064	0.701206
46078	0.092156	0.7	0.3	10	7601.06	17999	0.817151	2.8764e-30	0.202263	0.698053
51701	0.103402	0.7	0.3	10	7605.25	18008.9	0.817602	2.7809e-30	0.2013	0.694456
58011	0.116022	0.7	0.3	10	7610.43	18021.1	0.818158	2.67442e-30	0.200155	0.690359
65090	0.13018	0.7	0.3	10	7616.74	18036.1	0.818837	2.55599e-30	0.198808	0.685697
73034	0.146068	0.7	0.3	10	7624.35	18054.1	0.819655	2.42456e-30	0.197237	0.680402
81946	0.163892	0.7	0.3	10	7633.44	18075.6	0.820632	2.27924e-30	0.19542	0.674397
91946	0.183892	0.7	0.3	10	7644.19	18101.1	0.821787	2.11917e-30	0.193334	0.667599
103166	0.206332	0.7	0.3	10	7656.81	18131	0.823144	1.94378e-30	0.190954	0.659919
115756	0.231512	0.7	0.3	10	7671.53	18165.8	0.824727	1.75279e-30	0.188259	0.651258
129881	0.259762	0.7	0.3	10	7688.6	18206.2	0.826562	1.54658e-30	0.185224	0.641516
145730	0.29146	0.7	0.3	10	7708.27	18252.8	0.828676	1.32623e-30	0.181828	0.630583
163513	0.327026	0.7	0.3	10	7730.81	18306.2	0.8311	1.09398e-30	0.178049	0.618348
183465	0.36693	0.7	0.3	10	7756.52	18367.1	0.833863	8.53558e-31	0.173867	0.604697
205852	0.411704	0.7	0.3	10	7785.69	18436.1	0.837	6.10586e-31	0.169264	0.589514
230971	0.461942	0.7	0.3	10	7818.64	18514.2	0.840542	3.73016e-31	0.164224	0.572691
259155	0.51831	0.7	0.3	10	7855.68	18601.9	0.844524	1.51396e-31	0.158736	0.554127
290778	0.581556	0.7	0.3	10	7897.13	18700	0.84898	-4.12235e-32	0.15279	0.533735
326259	0.652518	0.7	0.3	10	7943.27	18809.3	0.853941	-1.90055e-31	0.146382	0.511452
366070	0.73214	0.7	0.3	10	7994.39	18930.3	0.859436	-2.80513e-31	0.139515	0.487246
410738	0.821476	0.7	0.3	10	8050.69	19063.6	0.865488	-3.01757e-31	0.132196	0.461131
