# Filename: 3Dvlt_quench_vst_T_1_0.7_P_00.050_lmax10_dl0.001_tmax1_dt5e-07_BC1.dat
# Source: 3Dvlt_quench.c
# Source version: 9 (2011 Jun 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.7, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=10, lsteps=10000, (dl=0.001), lpts=10001, ldatamax=100, t0, tmax=1, dt=1, (dtfrac=5e-07), a0=1, a02=1, a03=1, a04=1, a06=1, Lconst=1, NDflowTOL=1, fp1=1e-06, fp2=-1.5, fp3=1.5, fp4=-4.5, li=-1.5
# Option values: BC=1, RKv=RK3v1
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	loopdens	linedens
46078	0.023039	0.7	0.3	10	7593.85	17981.9	0.816375	6.45543e-30	0.205632	0.718078
51701	0.0258505	0.7	0.3	10	7593.25	17980.5	0.816312	6.36088e-30	0.205675	0.717391
58011	0.0290055	0.7	0.3	10	7592.75	17979.3	0.816258	6.25488e-30	0.205691	0.716598
65090	0.032545	0.7	0.3	10	7592.37	17978.4	0.816217	6.13614e-30	0.205675	0.715687
73034	0.036517	0.7	0.3	10	7592.15	17977.9	0.816193	6.00319e-30	0.205618	0.714637
81946	0.040973	0.7	0.3	10	7592.13	17977.8	0.816191	5.85448e-30	0.205512	0.713431
91946	0.045973	0.7	0.3	10	7592.36	17978.3	0.816216	5.6883e-30	0.205347	0.712045
103166	0.051583	0.7	0.3	10	7592.89	17979.6	0.816273	5.50284e-30	0.205113	0.710453
115756	0.057878	0.7	0.3	10	7593.8	17981.8	0.81637	5.29618e-30	0.204798	0.708628
129881	0.0649405	0.7	0.3	10	7595.15	17985	0.816516	5.0664e-30	0.204388	0.706536
145730	0.072865	0.7	0.3	10	7597.03	17989.4	0.816718	4.8115e-30	0.203869	0.70414
163513	0.0817565	0.7	0.3	10	7599.53	17995.3	0.816987	4.52965e-30	0.203225	0.701401
183465	0.0917325	0.7	0.3	10	7602.76	18003	0.817334	4.21921e-30	0.202438	0.698272
205852	0.102926	0.7	0.3	10	7606.84	18012.6	0.817773	3.87897e-30	0.20149	0.694701
230971	0.115486	0.7	0.3	10	7611.91	18024.6	0.818317	3.50838e-30	0.200362	0.690633
259155	0.129577	0.7	0.3	10	7618.09	18039.3	0.818982	3.10796e-30	0.199032	0.686005
290778	0.145389	0.7	0.3	10	7625.57	18057	0.819786	2.67969e-30	0.197479	0.680746
326259	0.163129	0.7	0.3	10	7634.5	18078.1	0.820746	2.22766e-30	0.195681	0.674781
366070	0.183035	0.7	0.3	10	7645.09	18103.2	0.821885	1.75872e-30	0.193614	0.668028
410738	0.205369	0.7	0.3	10	7657.54	18132.7	0.823223	1.28331e-30	0.191256	0.660397
