# Filename: 3Dvlt_quench_vst_T_1_0.7_P_00.050_lmax1_dl0.001_tmax1_dt5e-07_BC1.dat
# Source: 3Dvlt_quench.c
# Source version: 9 (2011 Jun 23 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.7, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=1, lsteps=1000, (dl=0.001), lpts=1001, ldatamax=100, t0=1, tmax=1, dt=5e-07, (dtfrac=1), a0=1, a02=1, a03=1, a04=1, a06=1, Lconst=1, NDflowTOL=1e-06, fp1=-1.5, fp2=1.5, fp3=-4.5, fp4=-1.5, li=5.5
# Option values: BC=1, RKv=RK3v1
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	loopdens	linedens
37	1.85e-05	0.7	0.3	1	0.967592	2.29121	0.84289	0.000147827	0.190653	0.255679
43	2.15e-05	0.7	0.3	1	0.967591	2.29121	0.842889	0.000147813	0.190654	0.25568
49	2.45e-05	0.7	0.3	1	0.967591	2.29121	0.842889	0.000147801	0.190655	0.255681
56	2.8e-05	0.7	0.3	1	0.96759	2.29121	0.842888	0.000147787	0.190656	0.255682
64	3.2e-05	0.7	0.3	1	0.967589	2.2912	0.842887	0.000147772	0.190657	0.255683
73	3.65e-05	0.7	0.3	1	0.967588	2.2912	0.842886	0.000147757	0.190659	0.255684
83	4.15e-05	0.7	0.3	1	0.967587	2.2912	0.842885	0.00014774	0.190661	0.255686
94	4.7e-05	0.7	0.3	1	0.967586	2.2912	0.842884	0.000147724	0.190662	0.255687
107	5.35e-05	0.7	0.3	1	0.967584	2.29119	0.842883	0.000147705	0.190664	0.255689
121	6.05e-05	0.7	0.3	1	0.967582	2.29119	0.842882	0.000147686	0.190667	0.255691
137	6.85e-05	0.7	0.3	1	0.967581	2.29119	0.84288	0.000147666	0.190669	0.255694
155	7.75e-05	0.7	0.3	1	0.967579	2.29118	0.842878	0.000147644	0.190672	0.255696
175	8.75e-05	0.7	0.3	1	0.967576	2.29118	0.842876	0.000147622	0.190675	0.255699
197	9.85e-05	0.7	0.3	1	0.967574	2.29117	0.842874	0.000147599	0.190679	0.255702
222	0.000111	0.7	0.3	1	0.967571	2.29116	0.842872	0.000147574	0.190682	0.255706
250	0.000125	0.7	0.3	1	0.967568	2.29116	0.842869	0.000147548	0.190687	0.25571
282	0.000141	0.7	0.3	1	0.967564	2.29115	0.842866	0.000147519	0.190692	0.255715
318	0.000159	0.7	0.3	1	0.967561	2.29114	0.842862	0.00014749	0.190697	0.25572
357	0.0001785	0.7	0.3	1	0.967556	2.29113	0.842859	0.000147459	0.190703	0.255725
402	0.000201	0.7	0.3	1	0.967551	2.29112	0.842855	0.000147426	0.19071	0.255732
452	0.000226	0.7	0.3	1	0.967546	2.2911	0.84285	0.000147391	0.190717	0.255739
508	0.000254	0.7	0.3	1	0.96754	2.29109	0.842845	0.000147354	0.190726	0.255747
572	0.000286	0.7	0.3	1	0.967533	2.29107	0.842839	0.000147315	0.190735	0.255756
642	0.000321	0.7	0.3	1	0.967526	2.29106	0.842832	0.000147274	0.190745	0.255765
722	0.000361	0.7	0.3	1	0.967518	2.29104	0.842825	0.000147231	0.190756	0.255777
811	0.0004055	0.7	0.3	1	0.967509	2.29101	0.842817	0.000147185	0.190769	0.255789
911	0.0004555	0.7	0.3	1	0.967498	2.29099	0.842808	0.000147136	0.190783	0.255803
1023	0.0005115	0.7	0.3	1	0.967487	2.29096	0.842798	0.000147085	0.190798	0.255818
1149	0.0005745	0.7	0.3	1	0.967474	2.29093	0.842787	0.00014703	0.190815	0.255835
1290	0.000645	0.7	0.3	1	0.967461	2.2909	0.842775	0.000146973	0.190834	0.255854
1449	0.0007245	0.7	0.3	1	0.967445	2.29086	0.842762	0.000146912	0.190855	0.255875
1627	0.0008135	0.7	0.3	1	0.967428	2.29082	0.842747	0.000146848	0.190878	0.255899
1826	0.000913	0.7	0.3	1	0.967409	2.29078	0.842731	0.00014678	0.190903	0.255925
2050	0.001025	0.7	0.3	1	0.967388	2.29073	0.842712	0.000146709	0.190931	0.255954
2301	0.0011505	0.7	0.3	1	0.967365	2.29068	0.842692	0.000146633	0.190962	0.255986
2583	0.0012915	0.7	0.3	1	0.96734	2.29061	0.84267	0.000146554	0.190996	0.256022
2899	0.0014495	0.7	0.3	1	0.967312	2.29055	0.842646	0.000146469	0.191032	0.256062
3254	0.001627	0.7	0.3	1	0.967281	2.29048	0.842619	0.00014638	0.191073	0.256106
3652	0.001826	0.7	0.3	1	0.967247	2.2904	0.842589	0.000146286	0.191117	0.256154
4099	0.0020495	0.7	0.3	1	0.96721	2.29031	0.842557	0.000146187	0.191165	0.256208
4600	0.0023	0.7	0.3	1	0.967169	2.29021	0.842521	0.000146083	0.191217	0.256268
5162	0.002581	0.7	0.3	1	0.967124	2.2901	0.842483	0.000145973	0.191274	0.256334
5793	0.0028965	0.7	0.3	1	0.967076	2.28999	0.84244	0.000145857	0.191335	0.256407
6501	0.0032505	0.7	0.3	1	0.967023	2.28986	0.842394	0.000145734	0.191402	0.256487
7296	0.003648	0.7	0.3	1	0.966965	2.28973	0.842343	0.000145605	0.191473	0.256575
8187	0.0040935	0.7	0.3	1	0.966902	2.28958	0.842289	0.00014547	0.19155	0.256672
9187	0.0045935	0.7	0.3	1	0.966834	2.28942	0.84223	0.000145327	0.191631	0.256779
10309	0.0051545	0.7	0.3	1	0.966761	2.28924	0.842166	0.000145177	0.191719	0.256896
11568	0.005784	0.7	0.3	1	0.966682	2.28906	0.842097	0.000145019	0.191811	0.257024
12980	0.00649	0.7	0.3	1	0.966597	2.28886	0.842023	0.000144854	0.191908	0.257164
