# Filename: 2Dvpt_quench_vsl_T_0.99_0.1_lmax10_dl0.001_tmax100_dt3.5e-07_BC1_new.dat
# Source: 2Dvpt_quench.c
# Source version: 7 (2011 Sep 13 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=124.025106721199264825
# Parameter values: iTfrac=0.99, qTfrac=0.1, lmax=10, lsteps=10000, (dl=0.001), lpts=10001, ldatamax=250, t0=1, tmax=100, dt=3.5e-07, (dtfrac=0.7), a0=1, a02=1, a04=1, K0c=0.747853, NDflowTOL=1e-06
# Option values: BC=1, RKv=RK3v1

# time step n_t = 0	t = 0.000000e+00	(dt = 3.500000e-07)
# T/Tc	1-T/Tc	l	K	K/K0	G	dGda
0.99	0.01	2.68	0.70521	0.933549	2.94522e-09	-8.92776e-10
0.99	0.01	2.72	0.704884	0.933118	2.46696e-09	-7.1815e-10
0.99	0.01	2.76	0.704565	0.932695	2.06653e-09	-5.77731e-10
0.99	0.01	2.8	0.704251	0.93228	1.73123e-09	-4.64809e-10
0.99	0.01	2.84	0.703942	0.931871	1.45045e-09	-3.73991e-10
0.99	0.01	2.88	0.703639	0.93147	1.2153e-09	-3.00943e-10
0.99	0.01	2.92	0.703341	0.931076	1.01835e-09	-2.42183e-10
0.99	0.01	2.96	0.703049	0.930689	8.53384e-10	-1.94911e-10
0.99	0.01	3	0.702762	0.930308	7.15192e-10	-1.56879e-10
0.99	0.01	3.04	0.702479	0.929935	5.9942e-10	-1.26278e-10
0.99	0.01	3.08	0.702202	0.929567	5.02425e-10	-1.01654e-10
0.99	0.01	3.12	0.701929	0.929206	4.21153e-10	-8.1838e-11
0.99	0.01	3.16	0.701661	0.928851	3.53053e-10	-6.58896e-11
0.99	0.01	3.2	0.701397	0.928502	2.95984e-10	-5.3053e-11
0.99	0.01	3.24	0.701138	0.928159	2.48156e-10	-4.27204e-11
0.99	0.01	3.28	0.700883	0.927821	2.0807e-10	-3.44025e-11
0.99	0.01	3.32	0.700632	0.92749	1.7447e-10	-2.77061e-11
0.99	0.01	3.36	0.700386	0.927164	1.46305e-10	-2.23147e-11
0.99	0.01	3.4	0.700144	0.926843	1.22695e-10	-1.79736e-11
0.99	0.01	3.44	0.699905	0.926527	1.02901e-10	-1.4478e-11
0.99	0.01	3.48	0.699671	0.926217	8.63052e-11	-1.1663e-11
0.99	0.01	3.52	0.69944	0.925912	7.23903e-11	-9.39591e-12
0.99	0.01	3.56	0.699214	0.925612	6.07224e-11	-7.56998e-12
0.99	0.01	3.6	0.69899	0.925316	5.0938e-11	-6.09927e-12
0.99	0.01	3.64	0.698771	0.925026	4.27326e-11	-4.91459e-12
0.99	0.01	3.68	0.698555	0.92474	3.58509e-11	-3.96025e-12
0.99	0.01	3.72	0.698342	0.924459	3.00791e-11	-3.19141e-12
0.99	0.01	3.76	0.698133	0.924182	2.52378e-11	-2.57199e-12
0.99	0.01	3.8	0.697928	0.923909	2.11769e-11	-2.0729e-12
0.99	0.01	3.84	0.697725	0.923641	1.77703e-11	-1.67076e-12
0.99	0.01	3.88	0.697526	0.923377	1.49124e-11	-1.3467e-12
0.99	0.01	3.92	0.69733	0.923118	1.25148e-11	-1.08556e-12
0.99	0.01	3.96	0.697137	0.922862	1.05032e-11	-8.75104e-13
0.99	0.01	4	0.696947	0.922611	8.81532e-12	-7.05485e-13
0.99	0.01	4.04	0.696759	0.922363	7.39906e-12	-5.68772e-13
0.99	0.01	4.08	0.696575	0.922119	6.21063e-12	-4.58575e-13
0.99	0.01	4.12	0.696394	0.921879	5.21332e-12	-3.69747e-13
0.99	0.01	4.16	0.696215	0.921643	4.37635e-12	-2.9814e-13
0.99	0.01	4.2	0.696039	0.92141	3.67392e-12	-2.40412e-13
0.99	0.01	4.24	0.695866	0.921181	3.08437e-12	-1.93871e-13
0.99	0.01	4.28	0.695696	0.920955	2.58954e-12	-1.56348e-13
0.99	0.01	4.32	0.695528	0.920733	2.17418e-12	-1.26092e-13
0.99	0.01	4.36	0.695363	0.920514	1.82553e-12	-1.01696e-13
0.99	0.01	4.4	0.6952	0.920298	1.53284e-12	-8.20243e-14
0.99	0.01	4.44	0.695039	0.920086	1.28714e-12	-6.61605e-14
0.99	0.01	4.48	0.694882	0.919877	1.08086e-12	-5.33671e-14
0.99	0.01	4.52	0.694726	0.919671	9.0768e-13	-4.30493e-14
0.99	0.01	4.56	0.694573	0.919468	7.62275e-13	-3.47279e-14
0.99	0.01	4.6	0.694422	0.919268	6.40188e-13	-2.80161e-14
0.99	0.01	4.64	0.694273	0.919071	5.37674e-13	-2.26024e-14
0.99	0.01	4.68	0.694126	0.918877	4.51593e-13	-1.82356e-14
0.99	0.01	4.72	0.693982	0.918686	3.79307e-13	-1.4713e-14
0.99	0.01	4.76	0.69384	0.918498	3.18604e-13	-1.18714e-14
0.99	0.01	4.8	0.6937	0.918312	2.67625e-13	-9.57892e-15
0.99	0.01	4.84	0.693561	0.918129	2.2481e-13	-7.72945e-15
0.99	0.01	4.88	0.693425	0.917949	1.88852e-13	-6.23731e-15
0.99	0.01	4.92	0.693291	0.917772	1.5865e-13	-5.0334e-15
0.99	0.01	4.96	0.693159	0.917597	1.33283e-13	-4.06201e-15
0.99	0.01	5	0.693029	0.917424	1.11976e-13	-3.27821e-15
0.99	0.01	5.04	0.6929	0.917254	9.40778e-14	-2.64574e-15
0.99	0.01	5.08	0.692774	0.917087	7.90431e-14	-2.13537e-15
0.99	0.01	5.12	0.692649	0.916922	6.64132e-14	-1.72351e-15
0.99	0.01	5.16	0.692526	0.916759	5.58031e-14	-1.39114e-15
0.99	0.01	5.2	0.692405	0.916599	4.68895e-14	-1.1229e-15
0.99	0.01	5.24	0.692286	0.91644	3.94009e-14	-9.06407e-16
0.99	0.01	5.28	0.692168	0.916285	3.31093e-14	-7.3168e-16
0.99	0.01	5.32	0.692052	0.916131	2.78231e-14	-5.90654e-16
0.99	0.01	5.36	0.691937	0.915979	2.33816e-14	-4.76824e-16
0.99	0.01	5.4	0.691825	0.91583	1.96497e-14	-3.84943e-16
0.99	0.01	5.44	0.691713	0.915683	1.65139e-14	-3.10777e-16
0.99	0.01	5.48	0.691604	0.915538	1.38789e-14	-2.50908e-16
0.99	0.01	5.52	0.691496	0.915395	1.16647e-14	-2.02578e-16
0.99	0.01	5.56	0.691389	0.915253	9.80394e-15	-1.63562e-16
0.99	0.01	5.6	0.691284	0.915114	8.24027e-15	-1.32064e-16
0.99	0.01	5.64	0.69118	0.914977	6.92617e-15	-1.06635e-16
0.99	0.01	5.68	0.691078	0.914842	5.82179e-15	-8.61048e-17
0.99	0.01	5.72	0.690977	0.914708	4.89363e-15	-6.95291e-17
0.99	0.01	5.76	0.690878	0.914577	4.11354e-15	-5.61459e-17
0.99	0.01	5.8	0.69078	0.914447	3.4579e-15	-4.53399e-17
0.99	0.01	5.84	0.690683	0.914319	2.90682e-15	-3.66146e-17
0.99	0.01	5.88	0.690588	0.914193	2.44363e-15	-2.95692e-17
0.99	0.01	5.92	0.690494	0.914069	2.0543e-15	-2.38801e-17
0.99	0.01	5.96	0.690401	0.913946	1.72703e-15	-1.92861e-17
0.99	0.01	6	0.69031	0.913825	1.45194e-15	-1.55763e-17
0.99	0.01	6.04	0.690219	0.913705	1.22069e-15	-1.25803e-17
0.99	0.01	6.08	0.69013	0.913587	1.0263e-15	-1.01609e-17
0.99	0.01	6.12	0.690043	0.913471	8.6288e-16	-8.20695e-18
0.99	0.01	6.16	0.689956	0.913357	7.25499e-16	-6.62891e-18
0.99	0.01	6.2	0.689871	0.913244	6.10004e-16	-5.35442e-18
0.99	0.01	6.24	0.689786	0.913132	5.12906e-16	-4.32507e-18
0.99	0.01	6.28	0.689703	0.913022	4.31273e-16	-3.49368e-18
0.99	0.01	6.32	0.689621	0.912914	3.6264e-16	-2.82217e-18
0.99	0.01	6.36	0.68954	0.912806	3.04935e-16	-2.27978e-18
0.99	0.01	6.4	0.689461	0.912701	2.56418e-16	-1.84167e-18
0.99	0.01	6.44	0.689382	0.912597	2.15624e-16	-1.48779e-18
0.99	0.01	6.48	0.689304	0.912494	1.81324e-16	-1.20193e-18
0.99	0.01	6.52	0.689228	0.912392	1.52483e-16	-9.71012e-19
0.99	0.01	6.56	0.689152	0.912292	1.28232e-16	-7.84477e-19
0.99	0.01	6.6	0.689077	0.912194	1.0784e-16	-6.33789e-19
0.99	0.01	6.64	0.689004	0.912096	9.06926e-17	-5.12056e-19
0.99	0.01	6.68	0.688931	0.912	7.6273e-17	-4.13713e-19
0.99	0.01	6.72	0.68886	0.911905	6.41472e-17	-3.34264e-19
0.99	0.01	6.76	0.688789	0.911811	5.39502e-17	-2.70077e-19
0.99	0.01	6.8	0.688719	0.911719	4.53748e-17	-2.1822e-19
0.99	0.01	6.84	0.68865	0.911628	3.81632e-17	-1.76323e-19
0.99	0.01	6.88	0.688582	0.911538	3.20983e-17	-1.42473e-19
0.99	0.01	6.92	0.688515	0.911449	2.69977e-17	-1.15123e-19
0.99	0.01	6.96	0.688449	0.911362	2.2708e-17	-9.30255e-20
0.99	0.01	7	0.688384	0.911275	1.91002e-17	-7.51707e-20
0.99	0.01	7.04	0.688319	0.91119	1.60659e-17	-6.07439e-20
0.99	0.01	7.08	0.688256	0.911106	1.35138e-17	-4.90867e-20
0.99	0.01	7.12	0.688193	0.911023	1.13673e-17	-3.96673e-20
0.99	0.01	7.16	0.688131	0.910941	9.56194e-18	-3.2056e-20
0.99	0.01	7.2	0.68807	0.91086	8.0434e-18	-2.59056e-20
0.99	0.01	7.24	0.688009	0.91078	6.76613e-18	-2.09355e-20
0.99	0.01	7.28	0.68795	0.910701	5.69177e-18	-1.69193e-20
0.99	0.01	7.32	0.687891	0.910623	4.78807e-18	-1.36737e-20
0.99	0.01	7.36	0.687833	0.910546	4.02792e-18	-1.10509e-20
0.99	0.01	7.4	0.687776	0.91047	3.38849e-18	-8.93132e-21
0.99	0.01	7.44	0.687719	0.910396	2.85062e-18	-7.21839e-21
0.99	0.01	7.48	0.687663	0.910322	2.39815e-18	-5.83407e-21
0.99	0.01	7.52	0.687608	0.910249	2.01754e-18	-4.71531e-21
0.99	0.01	7.56	0.687554	0.910177	1.69735e-18	-3.81113e-21
0.99	0.01	7.6	0.6875	0.910106	1.428e-18	-3.08038e-21
0.99	0.01	7.64	0.687447	0.910036	1.20141e-18	-2.48979e-21
0.99	0.01	7.68	0.687395	0.909966	1.01078e-18	-2.01245e-21
0.99	0.01	7.72	0.687343	0.909898	8.50417e-19	-1.62665e-21
0.99	0.01	7.76	0.687292	0.90983	7.15503e-19	-1.31483e-21
0.99	0.01	7.8	0.687242	0.909764	6.01999e-19	-1.0628e-21
0.99	0.01	7.84	0.687192	0.909698	5.06508e-19	-8.59089e-22
0.99	0.01	7.88	0.687143	0.909633	4.26169e-19	-6.94434e-22
0.99	0.01	7.92	0.687095	0.909569	3.58577e-19	-5.61344e-22
0.99	0.01	7.96	0.687047	0.909506	3.01709e-19	-4.53768e-22
0.99	0.01	8	0.687	0.909443	2.53863e-19	-3.66812e-22
0.99	0.01	8.04	0.686953	0.909382	2.13607e-19	-2.96523e-22
0.99	0.01	8.08	0.686907	0.909321	1.79737e-19	-2.39706e-22
0.99	0.01	8.12	0.686862	0.909261	1.51239e-19	-1.93778e-22
0.99	0.01	8.16	0.686817	0.909201	1.27261e-19	-1.56652e-22
0.99	0.01	8.2	0.686773	0.909143	1.07086e-19	-1.26641e-22
0.99	0.01	8.24	0.686729	0.909085	9.011e-20	-1.0238e-22
0.99	0.01	8.28	0.686686	0.909028	7.58261e-20	-8.27679e-23
0.99	0.01	8.32	0.686643	0.908971	6.38072e-20	-6.69135e-23
0.99	0.01	8.36	0.686601	0.908916	5.36939e-20	-5.40967e-23
0.99	0.01	8.4	0.68656	0.908861	4.5184e-20	-4.37353e-23
0.99	0.01	8.44	0.686519	0.908806	3.80232e-20	-3.53589e-23
0.99	0.01	8.48	0.686478	0.908753	3.19976e-20	-2.85871e-23
0.99	0.01	8.52	0.686438	0.9087	2.69271e-20	-2.31124e-23
0.99	0.01	8.56	0.686399	0.908647	2.26604e-20	-1.86864e-23
0.99	0.01	8.6	0.68636	0.908596	1.90699e-20	-1.51082e-23
0.99	0.01	8.64	0.686321	0.908545	1.60485e-20	-1.22152e-23
0.99	0.01	8.68	0.686283	0.908494	1.35059e-20	-9.87633e-24
0.99	0.01	8.72	0.686246	0.908445	1.13663e-20	-7.98536e-24
0.99	0.01	8.76	0.686209	0.908396	9.56571e-21	-6.45651e-24
0.99	0.01	8.8	0.686172	0.908347	8.05044e-21	-5.22041e-24
0.99	0.01	8.84	0.686136	0.908299	6.77526e-21	-4.22101e-24
0.99	0.01	8.88	0.6861	0.908252	5.70212e-21	-3.41297e-24
0.99	0.01	8.92	0.686065	0.908205	4.79899e-21	-2.75964e-24
0.99	0.01	8.96	0.68603	0.908159	4.03895e-21	-2.23139e-24
0.99	0.01	9	0.685996	0.908114	3.3993e-21	-1.80428e-24
0.99	0.01	9.04	0.685962	0.908069	2.86098e-21	-1.45894e-24
0.99	0.01	9.08	0.685928	0.908024	2.40793e-21	-1.1797e-24
0.99	0.01	9.12	0.685895	0.90798	2.02664e-21	-9.53922e-25
0.99	0.01	9.16	0.685862	0.907937	1.70574e-21	-7.71359e-25
0.99	0.01	9.2	0.68583	0.907894	1.43566e-21	-6.23741e-25
0.99	0.01	9.24	0.685798	0.907852	1.20836e-21	-5.04377e-25
0.99	0.01	9.28	0.685766	0.90781	1.01705e-21	-4.0786e-25
0.99	0.01	9.32	0.685735	0.907769	8.56038e-22	-3.29814e-25
0.99	0.01	9.36	0.685705	0.907729	7.20521e-22	-2.66705e-25
0.99	0.01	9.4	0.685674	0.907688	6.06462e-22	-2.15674e-25
0.99	0.01	9.44	0.685644	0.907649	5.10463e-22	-1.74408e-25
0.99	0.01	9.48	0.685615	0.907609	4.29663e-22	-1.41039e-25
0.99	0.01	9.52	0.685585	0.907571	3.61655e-22	-1.14056e-25
0.99	0.01	9.56	0.685556	0.907532	3.04414e-22	-9.22352e-26
0.99	0.01	9.6	0.685528	0.907495	2.56234e-22	-7.45899e-26
0.99	0.01	9.64	0.6855	0.907457	2.15682e-22	-6.03207e-26
0.99	0.01	9.68	0.685472	0.907421	1.81548e-22	-4.87816e-26
0.99	0.01	9.72	0.685444	0.907384	1.52818e-22	-3.94502e-26
0.99	0.01	9.76	0.685417	0.907348	1.28635e-22	-3.1904e-26
0.99	0.01	9.8	0.68539	0.907313	1.0828e-22	-2.58015e-26
0.99	0.01	9.84	0.685364	0.907278	9.11462e-23	-2.08664e-26
0.99	0.01	9.88	0.685338	0.907243	7.67243e-23	-1.68753e-26
0.99	0.01	9.92	0.685312	0.907209	6.45847e-23	-1.36478e-26
0.99	0.01	9.96	0.685286	0.907175	5.43662e-23	-1.10376e-26
0.99	0.01	10	0.685261	0.907141	4.57648e-23	0

# time step n_t = 1	t = 3.500000e-07	(dt = 3.500000e-07)
# T/Tc	1-T/Tc	l	K	K/K0	G	dGda
0.99	0.01	0	7.47853	1	0.000578154	-0.00272441
0.99	0.01	0.04	7.32352	0.979273	0.000478291	-0.0021712
0.99	0.01	0.08	7.17904	0.959954	0.000395825	-0.00172285
0.99	0.01	0.12	7.04406	0.941904	0.000327704	-0.00136769
0.99	0.01	0.16	6.91766	0.925003	0.000271406	-0.00108621
0.99	0.01	0.2	6.79907	0.909146	0.000224862	-0.000863027
0.99	0.01	0.24	6.68759	0.894239	0.000186364	-0.000685975
0.99	0.01	0.28	6.5826	0.880199	0.000154509	-0.000545459
0.99	0.01	0.32	6.48355	0.866955	0.000128141	-0.000433889
0.99	0.01	0.36	6.38995	0.85444	0.000106307	-0.000345267
0.99	0.01	0.4	6.30138	0.842597	8.82202e-05	-0.000274843
0.99	0.01	0.44	6.21745	0.831373	7.32326e-05	-0.000218859
0.99	0.01	0.48	6.13779	0.820721	6.08088e-05	-0.000174336
0.99	0.01	0.52	6.0621	0.810601	5.0507e-05	-0.000138916
0.99	0.01	0.56	5.99009	0.800972	4.19619e-05	-0.000110727
0.99	0.01	0.6	5.9215	0.7918	3.48718e-05	-8.82848e-05
0.99	0.01	0.64	5.8561	0.783055	2.89872e-05	-7.04121e-05
0.99	0.01	0.68	5.79368	0.774708	2.41017e-05	-5.61737e-05
0.99	0.01	0.72	5.73403	0.766732	2.00446e-05	-4.48271e-05
0.99	0.01	0.76	5.67698	0.759103	1.66743e-05	-3.57822e-05
0.99	0.01	0.8	5.62236	0.751801	1.3874e-05	-2.85698e-05
0.99	0.01	0.84	5.57004	0.744804	1.15466e-05	-2.2817e-05
0.99	0.01	0.88	5.51986	0.738094	9.61169e-06	-1.82272e-05
0.99	0.01	0.92	5.4717	0.731654	8.00277e-06	-1.45642e-05
0.99	0.01	0.96	5.42545	0.72547	6.66457e-06	-1.16401e-05
0.99	0.01	1	5.38099	0.719525	5.55127e-06	-9.30521e-06
0.99	0.01	1.04	5.33823	0.713807	4.62487e-06	-7.44037e-06
0.99	0.01	1.08	5.29707	0.708303	3.85381e-06	-5.95056e-06
0.99	0.01	1.12	5.25742	0.703002	3.21192e-06	-4.76008e-06
0.99	0.01	1.16	5.21922	0.697894	2.67744e-06	-3.80856e-06
0.99	0.01	1.2	5.18237	0.692967	2.2323e-06	-3.04787e-06
0.99	0.01	1.24	5.14682	0.688213	1.86149e-06	-2.4396e-06
0.99	0.01	1.28	5.1125	0.683624	1.55255e-06	-1.9531e-06
0.99	0.01	1.32	5.07934	0.67919	1.2951e-06	-1.56391e-06
0.99	0.01	1.36	5.0473	0.674905	1.08052e-06	-1.25251e-06
0.99	0.01	1.4	5.01631	0.670761	9.01639e-07	-1.00329e-06
0.99	0.01	1.44	4.98633	0.666752	7.52489e-07	-8.03803e-07
0.99	0.01	1.48	4.95731	0.662872	6.28109e-07	-6.44091e-07
0.99	0.01	1.52	4.9292	0.659114	5.24366e-07	-5.162e-07
0.99	0.01	1.56	4.90198	0.655474	4.37823e-07	-4.13771e-07
0.99	0.01	1.6	4.87559	0.651945	3.65615e-07	-3.31721e-07
0.99	0.01	1.64	4.85	0.648523	3.0536e-07	-2.65983e-07
0.99	0.01	1.68	4.82518	0.645205	2.5507e-07	-2.13305e-07
0.99	0.01	1.72	4.80109	0.641984	2.13091e-07	-1.71085e-07
0.99	0.01	1.76	4.77771	0.638857	1.78044e-07	-1.37243e-07
0.99	0.01	1.8	4.755	0.63582	1.48781e-07	-1.1011e-07
0.99	0.01	1.84	4.73294	0.63287	1.24343e-07	-8.83543e-08
0.99	0.01	1.88	4.7115	0.630003	1.03932e-07	-7.09067e-08
0.99	0.01	1.92	4.69066	0.627216	8.6882e-08	-5.69123e-08
0.99	0.01	1.96	4.67038	0.624506	7.26377e-08	-4.56858e-08
0.99	0.01	2	4.65067	0.621869	6.07359e-08	-3.66787e-08
0.99	0.01	2.04	4.63148	0.619303	5.079e-08	-2.9451e-08
0.99	0.01	2.08	4.6128	0.616805	4.24776e-08	-2.36506e-08
0.99	0.01	2.12	4.59461	0.614373	3.55295e-08	-1.89948e-08
0.99	0.01	2.16	4.5769	0.612005	2.97211e-08	-1.52574e-08
0.99	0.01	2.2	4.55964	0.609697	2.48649e-08	-1.22568e-08
0.99	0.01	2.24	4.54282	0.607448	2.08043e-08	-9.84742e-09
0.99	0.01	2.28	4.52643	0.605256	1.74086e-08	-7.91256e-09
0.99	0.01	2.32	4.51044	0.603119	1.45686e-08	-6.35857e-09
0.99	0.01	2.36	4.49486	0.601035	1.21931e-08	-5.11032e-09
0.99	0.01	2.4	4.47965	0.599001	1.02059e-08	-4.10755e-09
0.99	0.01	2.44	4.46481	0.597017	8.54338e-09	-3.3019e-09
0.99	0.01	2.48	4.45033	0.595081	7.15235e-09	-2.65453e-09
0.99	0.01	2.52	4.43619	0.593191	5.98834e-09	-2.1343e-09
0.99	0.01	2.56	4.42239	0.591345	5.01422e-09	-1.71619e-09
0.99	0.01	2.6	4.40891	0.589543	4.19892e-09	-1.38012e-09
0.99	0.01	2.64	4.39575	0.587782	3.51649e-09	-1.10997e-09
0.99	0.01	2.68	4.38288	0.586062	2.94522e-09	-8.92776e-10
0.99	0.01	2.72	4.37031	0.584381	2.46696e-09	-7.18149e-10
0.99	0.01	2.76	4.35802	0.582738	2.06653e-09	-5.77731e-10
0.99	0.01	2.8	4.34601	0.581131	1.73123e-09	-4.64809e-10
0.99	0.01	2.84	4.33426	0.579561	1.45045e-09	-3.73991e-10
0.99	0.01	2.88	4.32278	0.578025	1.2153e-09	-3.00943e-10
0.99	0.01	2.92	4.31154	0.576522	1.01835e-09	-2.42183e-10
0.99	0.01	2.96	4.30055	0.575053	8.53384e-10	-1.94911e-10
0.99	0.01	3	4.28979	0.573614	7.15191e-10	-1.56879e-10
0.99	0.01	3.04	4.27927	0.572207	5.9942e-10	-1.26278e-10
0.99	0.01	3.08	4.26896	0.570829	5.02424e-10	-1.01654e-10
0.99	0.01	3.12	4.25888	0.569481	4.21153e-10	-8.1838e-11
0.99	0.01	3.16	4.249	0.56816	3.53053e-10	-6.58896e-11
0.99	0.01	3.2	4.23933	0.566867	2.95984e-10	-5.3053e-11
0.99	0.01	3.24	4.22986	0.565601	2.48156e-10	-4.27204e-11
0.99	0.01	3.28	4.22058	0.56436	2.0807e-10	-3.44025e-11
0.99	0.01	3.32	4.21149	0.563144	1.7447e-10	-2.77061e-11
0.99	0.01	3.36	4.20259	0.561953	1.46305e-10	-2.23147e-11
0.99	0.01	3.4	4.19386	0.560786	1.22695e-10	-1.79736e-11
0.99	0.01	3.44	4.1853	0.559642	1.02901e-10	-1.4478e-11
0.99	0.01	3.48	4.17692	0.558521	8.63052e-11	-1.1663e-11
0.99	0.01	3.52	4.1687	0.557422	7.23903e-11	-9.39591e-12
0.99	0.01	3.56	4.16064	0.556344	6.07224e-11	-7.56998e-12
