# Filename: 3Dvlt_quench_vst_T_1_0.5_P_00.050_lmax1_dl0.001_tmax100_dt2.5e-07_BC3.dat
# Source: 3Dvlt_quench.c
# Source version: 8 (2011 Jun 18 - ...)
# Constant values: PI= 3.141592653589793116, PISQ=9.8696044010893579923, PICU=31.0062766802998162063, B=41.3417022403997549418, THETA=0.6
# Parameter values: iTfrac=1, qTfrac=0.5, P=0.05 (Cc=1.10501, K0c=0.295614), lmax=1, lsteps=1000, (dl=0.001), lpts=1001, ldatamax=100, t0, tmax=1, dt=100, (dtfrac=2.5e-07), a0=0.5, a02=1, a03=1, a06=1, FPconst=1, PflowTOL=1, fp1=1e-05, fp2=-1.5, fp3=1.5, fp4=-0.75, fp5=1
# Option values: BC=3, RKv=RK3v1
# time-step	t	T/Tc	1-T/Tc	l	K	K/K0	Kr/K0	G	loopdens
5162	0.0012905	0.5	0.5	1	0.491082	0.830614	0.305566	0.000147086	0.191554
5793	0.00144825	0.5	0.5	1	0.491131	0.830697	0.305596	0.000147026	0.19154
6501	0.00162525	0.5	0.5	1	0.491189	0.830794	0.305632	0.000146963	0.191516
7296	0.001824	0.5	0.5	1	0.491256	0.830908	0.305674	0.000146895	0.191481
8187	0.00204675	0.5	0.5	1	0.491334	0.831039	0.305722	0.000146823	0.191434
9187	0.00229675	0.5	0.5	1	0.491424	0.831192	0.305778	0.000146746	0.191373
10309	0.00257725	0.5	0.5	1	0.491528	0.831369	0.305843	0.000146663	0.191294
11568	0.002892	0.5	0.5	1	0.491649	0.831572	0.305918	0.000146574	0.191196
12980	0.003245	0.5	0.5	1	0.491788	0.831807	0.306005	0.000146479	0.191075
14565	0.00364125	0.5	0.5	1	0.491947	0.832077	0.306104	0.000146378	0.190928
16343	0.00408575	0.5	0.5	1	0.49213	0.832386	0.306218	0.000146268	0.190752
18339	0.00458475	0.5	0.5	1	0.49234	0.832742	0.306349	0.00014615	0.190542
20577	0.00514425	0.5	0.5	1	0.492581	0.833149	0.306498	0.000146024	0.190294
23089	0.00577225	0.5	0.5	1	0.492856	0.833615	0.30667	0.000145887	0.190001
25908	0.006477	0.5	0.5	1	0.493171	0.834148	0.306866	0.00014574	0.189659
29070	0.0072675	0.5	0.5	1	0.493531	0.834756	0.30709	0.000145581	0.189261
32618	0.0081545	0.5	0.5	1	0.493942	0.835451	0.307345	0.000145408	0.1888
36599	0.00914975	0.5	0.5	1	0.494411	0.836244	0.307637	0.000145221	0.188268
41066	0.0102665	0.5	0.5	1	0.494945	0.837148	0.30797	0.000145017	0.187655
46078	0.0115195	0.5	0.5	1	0.495555	0.838179	0.308349	0.000144796	0.186953
